id,web_name,team_name,position,price,selected_by_percent,total_points,event_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,in_dreamteam,news,news_added,now_cost,photo,removed,second_name,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
1,Raya,Arsenal,GKP,5.8,31.5,52,6,6.0,5.2,900,0,0,7,3,0,0,0,1,0,16,3,212,158.2,10.2,0.0,16.8,0.00,0.04,0.04,5.73,True,True,,,154561,0,0,3,-3,1,1,7.0,7.0,David,False,,,58,154561.jpg,False,Raya Martín,False,,a,1,3,2149863,86524,836886,10999,1.0,9.0,200.0,2024-07-04,1995-09-15,False,p154561,9,85,0,0,10,98,13,340,3,734,86,235,13,,,,,,,0.0,1.6,0.0,0.0,0.57,0.3,107,1,22,1,23,2,8,2,1.0,0.7,0.0
2,Arrizabalaga,Arsenal,GKP,4.2,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,109745,0,0,-3,3,0,1,1.0,1.0,Kepa,False,,,42,109745.jpg,False,Arrizabalaga Revuelta,False,,a,1,3,7672,191,58353,990,0.0,0.0,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,548,75,534,62,502,49,549,75,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,609,38,499,68,556,75,239,34,0.0,0.0,0.0
3,Hein,Arsenal,GKP,4.0,0.3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,Karl,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,False,Hein,False,,u,1,3,5545,0,39398,701,0.0,0.0,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,512,61,498,48,465,35,513,61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,653,63,462,54,521,61,318,46,0.0,0.0,0.0
4,Setford,Arsenal,GKP,4.0,0.2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,551221,0,0,0,0,0,1,1.0,1.0,Tommy,False,,,40,551221.jpg,False,Setford,False,,a,1,3,15390,136,15920,611,0.0,0.0,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,530,71,516,58,484,45,531,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,678,73,481,64,539,71,358,54,0.0,0.0,0.0
5,Gabriel,Arsenal,DEF,6.6,41.2,80,12,11.0,8.0,900,1,2,7,3,0,0,0,1,0,0,13,273,297.2,47.2,84.0,42.8,0.82,0.66,1.48,5.73,True,True,100.0,100.0,226597,1,-1,6,-6,3,2,12.0,12.0,Gabriel,True,,2025-10-24T14:00:07.880778Z,66,226597.jpg,False,dos Santos Magalhães,False,,a,1,3,3513990,220692,880368,2100,1.7,12.1,30.0,2020-09-01,1997-12-19,False,p226597,84,15,11,95,10,7,4,204,54,101,14,56,10,,,,,,,0.08,0.0,0.07,0.15,0.57,0.3,51,1,1,1,2,1,4,1,1.0,0.7,9.5
6,Saliba,Arsenal,DEF,6.0,11.6,38,6,4.3,4.2,634,0,0,5,1,0,0,0,0,0,0,1,174,152.4,29.6,10.0,19.2,0.13,0.20,0.33,4.21,True,True,100.0,75.0,462424,0,0,0,0,0,2,5.3,4.0,William,False,,2025-10-28T21:00:08.018508Z,60,462424.jpg,False,Saliba,False,,a,1,3,740149,11484,1275366,17014,0.7,6.3,73.0,2019-07-25,2001-03-24,False,p462424,41,31,10,51,8,108,47,258,80,314,105,214,70,,,,,,,0.02,0.0,0.03,0.05,0.6,0.14,87,5,60,24,66,28,36,12,1.14,0.71,7.24
7,Calafiori,Arsenal,DEF,5.8,16.0,60,6,6.0,6.0,766,1,2,7,3,0,0,0,3,0,0,3,214,138.6,81.5,146.0,36.5,2.01,0.20,2.21,4.36,True,True,,,466075,0,0,3,-3,2,2,7.0,7.0,Riccardo,True,,,58,466075.jpg,False,Calafiori,False,,a,1,3,2055666,30101,635792,28054,1.0,10.3,106.0,2024-07-29,2002-05-19,False,p466075,29,39,13,42,10,126,56,126,28,48,4,88,25,,,,,,,0.24,0.0,0.02,0.26,0.51,0.35,115,10,23,8,11,6,26,9,1.17,0.82,4.93
8,J.Timber,Arsenal,DEF,6.1,25.2,66,6,6.0,6.6,791,2,2,6,3,0,0,0,2,0,0,7,250,225.0,172.8,208.0,60.8,2.08,0.61,2.69,4.63,True,True,,,445122,0,0,6,-6,2,2,7.0,7.0,Jurriën,True,,,61,445122.jpg,False,Timber,False,,a,1,3,3017232,62159,552583,27106,1.0,10.8,152.0,2023-07-14,2001-06-17,False,p445122,26,30,31,57,9,41,15,42,8,19,1,18,1,,,,,,,0.24,0.0,0.07,0.31,0.53,0.34,84,3,24,9,4,2,12,5,1.02,0.68,6.49
9,Kiwior,Arsenal,DEF,5.4,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,440854,0,0,-1,1,0,2,0.0,0.0,Jakub,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,False,Kiwior,False,,u,1,3,1119,0,10411,46,0.0,0.0,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,727,247,726,247,721,245,727,247,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,175,21,711,244,727,247,561,202,0.0,0.0,0.0
10,Lewis-Skelly,Arsenal,DEF,5.2,1.6,6,1,0.7,0.9,86,0,0,0,0,0,0,0,1,0,0,0,19,9.8,7.2,4.0,2.0,0.00,0.00,0.00,0.99,True,True,,,499169,0,0,-3,3,0,2,1.7,1.7,Myles,False,,,52,499169.jpg,False,Lewis-Skelly,False,,a,1,3,50377,686,349573,4272,0.1,1.2,241.0,2022-12-04,2006-09-26,False,p499169,4,7,1,5,0,386,143,355,120,360,128,398,139,,,,,,,0.0,0.0,0.0,0.0,1.04,0.0,228,33,299,100,431,144,141,54,0.0,0.0,5.23
